epoch	train_ppl_0.0	valid_ppl_0.0	train_ppl_0.9	valid_ppl_0.9	train_ppl_0.2	valid_ppl_0.2	train_ppl_0.3	valid_ppl_0.3	train_ppl_0.6	valid_ppl_0.6
1	1279.94	155.09	694.28	148.72	1226.56	149.85	1034.92	188.45	740.04	142.26
2	158.83	78.61	308.57	140.84	167.36	86.37	167.43	92.14	177.72	89.27
3	91.98	64.39	255.58	121.17	94.68	55.62	96.7	60.47	112.88	69.03
4	64.97	43.56	231.1	126.34	69.74	45.11	72.94	46.74	90.14	51.85
5	48.82	32.45	171.26	108.91	55.55	34.28	59.32	36.76	78.73	47.23
6	37.09	25.16	158.31	105.65	45.94	29.61	51.42	31.14	72.4	44.79
7	27.88	20.35	152.36	102.85	39.57	24.58	45.18	27.38	67.46	38.09
8	21.69	17.57	148.55	100.62	34.57	21.47	40.97	25.14	64.74	37.18
9	18.01	15.02	145.51	96.7	30.77	18.96	37.32	21.35	62.01	36.68
10	15.75	13.39	141.86	93.42	28.07	16.69	34.73	20.19	59.81	34.75
11	14.32	12.52	137.77	90.75	25.61	15.56	32.43	18.35	58.02	34.2
12	13.39	11.9	134.68	87.46	24.18	14.38	30.56	17.41	57.23	32.51
13	12.71	11.35	132.57	85.55	22.73	13.03	29.09	16.52	55.74	31.57
14	12.35	10.7	129.98	82.99	21.59	12.23	27.7	15.27	54.95	31.96
15	12.17	10.69	126.81	81.81	20.54	12.01	26.78	14.67	46.92	27.35
16	12.09	10.9	125.15	80.5	19.86	11.55	25.58	13.94	44.05	26.43
17	8.07	5.74	123.5	79.49	19.15	11.32	24.93	13.51	42.73	25.95
18	5.29	4.59	122.0	78.39	18.82	10.58	24.18	13.01	41.76	25.26
19	4.07	3.94	120.58	77.47	18.27	10.47	23.64	12.25	40.78	24.82
20	3.37	3.5	119.35	76.58	17.94	10.34	23.04	12.08	40.35	24.33
21	2.93	3.24	117.94	75.9	17.46	9.66	22.54	11.58	39.83	24.01
22	2.63	3.01	116.73	74.87	17.2	9.76	22.1	11.36	39.15	23.65
23	2.4	2.83	116.21	74.67	12.63	6.82	21.43	11.16	38.6	23.31
24	2.23	2.7	115.11	73.76	10.83	6.06	21.16	11.01	38.26	22.96
25	2.09	2.53	113.93	72.93	9.87	5.62	20.74	10.67	37.57	22.6
26	1.99	2.49	112.69	72.36	9.32	5.29	20.51	10.55	37.33	22.21
27	1.9	2.36	111.98	72.17	8.88	4.97	20.06	10.3	36.86	21.85
28	1.82	2.33	111.15	70.91	8.48	4.74	19.81	10.21	36.34	21.6
29	1.75	2.21	110.43	70.72	8.17	4.53	19.66	9.98	36.17	21.31
30	1.7	2.2	109.43	69.95	7.9	4.32	19.32	10.19	35.63	20.92
31	1.65	2.17	108.99	69.39	7.66	4.18	14.97	7.56	35.34	20.89
32	1.6	2.09	108.56	69.24	7.39	4.03	13.21	7.02	35.11	20.53
33	1.56	2.03	108.03	68.39	7.22	3.92	12.48	6.61	34.59	20.24
34	1.53	1.96	107.89	68.6	7.07	3.78	11.86	6.29	34.28	19.96
35	1.5	1.93	103.36	66.94	6.9	3.66	11.4	6.05	34.07	19.8
36	1.47	1.92	100.97	66.45	6.76	3.54	11.09	5.85	33.86	19.51
37	1.45	1.87	100.26	65.98	6.62	3.46	10.82	5.65	33.57	19.44
38	1.43	1.83	99.67	65.77	6.49	3.37	10.58	5.52	33.33	19.18
39	1.4	1.78	99.03	65.36	6.29	3.3	10.31	5.35	32.88	18.89
40	1.39	1.82	98.66	65.09	6.22	3.22	10.13	5.17	32.67	18.77
41	1.33	1.51	98.37	64.95	6.12	3.16	9.81	5.05	32.5	18.47
42	1.21	1.45	97.79	64.67	6.01	3.09	9.73	4.95	32.15	18.36
43	1.17	1.41	97.42	64.44	5.89	3.03	9.52	4.85	31.86	18.02
44	1.14	1.39	97.01	64.36	5.85	2.96	9.42	4.75	31.54	17.89
45	1.12	1.36	96.57	63.91	5.72	2.95	9.28	4.66	31.56	17.69
46	1.11	1.34	96.61	63.94	5.64	2.86	9.25	4.59	31.1	17.48
47	1.1	1.33	95.85	63.77	5.57	2.82	9.07	4.5	31.03	17.31
48	1.09	1.31	95.35	63.69	5.48	2.77	8.9	4.41	30.5	17.02
49	1.08	1.3	94.94	63.56	5.42	2.74	8.78	4.34	30.41	16.91
50	1.08	1.29	94.82	63.49	5.33	2.69	8.63	4.26	30.31	16.81
