epoch	train_ppl_0.9	valid_ppl_0.9	train_ppl_0.0	valid_ppl_0.0	train_ppl_0.6	valid_ppl_0.6	train_ppl_0.3	valid_ppl_0.3
1	1238.07	320.22	359.16	244.55	422.14	172.92	382.75	222.85
2	513.13	200.2	213.06	140.3	183.23	120.1	184.97	125.5
3	334.43	152.32	140.85	110.74	145.97	100.45	136.45	102.54
4	270.94	138.18	119.9	98.29	127.41	89.23	118.88	91.46
5	236.31	126.68	107.54	90.0	114.2	80.74	105.8	81.61
6	215.53	120.27	98.08	81.72	104.52	73.71	95.49	73.76
7	198.91	114.46	89.84	74.43	97.48	69.3	87.48	67.68
8	188.81	109.63	82.44	68.28	92.07	65.54	81.65	63.38
9	179.64	105.61	76.3	63.36	88.25	62.6	77.04	59.75
10	171.31	101.74	71.37	59.34	84.58	59.98	73.14	56.3
11	164.75	98.99	67.33	55.95	81.49	57.99	69.83	53.82
12	159.38	96.17	63.92	53.1	79.12	55.87	66.99	51.35
13	154.29	93.62	60.97	50.69	76.69	54.37	64.45	49.72
14	150.06	91.15	58.37	48.54	74.41	52.58	62.22	47.89
15	145.63	89.12	56.06	46.6	72.63	51.14	60.31	46.0
16	142.2	87.77	53.98	44.85	70.88	49.87	58.54	44.63
17	139.35	85.61	52.1	43.29	69.48	48.85	57.0	43.46
18	136.16	84.05	50.38	41.87	68.13	47.78	55.48	42.18
19	132.74	82.35	48.8	40.59	67.02	46.98	54.33	41.14
20	130.24	80.71	47.34	39.41	65.65	45.89	52.75	40.03
21	128.46	79.72	45.99	38.31	64.46	44.9	51.75	39.19
22	126.77	78.1	44.72	37.27	63.56	44.35	50.69	38.35
23	124.68	76.98	43.54	36.3	62.64	43.6	49.85	37.68
24	122.63	75.73	42.42	35.39	61.67	42.86	48.73	36.71
25	120.78	74.52	41.36	34.53	60.9	42.25	47.84	36.08
26	119.24	73.67	40.36	33.72	60.0	41.69	46.97	35.41
27	117.94	72.82	39.4	32.95	59.47	41.08	46.24	34.57
28	116.47	72.07	38.49	32.21	58.75	40.58	45.46	34.27
29	115.83	71.39	37.62	31.51	58.12	40.11	44.68	33.54
30	114.22	70.56	36.78	30.84	57.46	39.62	44.0	32.89
31	112.12	69.83	35.98	30.2	56.53	39.23	43.35	32.54
32	111.61	69.17	35.2	29.58	55.94	38.58	42.63	32.02
33	110.51	68.65	34.45	28.98	55.67	38.12	42.04	31.32
34	109.41	68.04	33.73	28.41	54.84	37.74	41.38	31.08
35	109.2	67.48	33.02	27.86	54.5	37.52	40.82	30.59
36	108.32	66.89	32.34	27.34	54.2	37.15	40.19	30.0
37	107.21	66.45	31.68	26.85	53.53	36.41	39.7	29.59
38	106.74	65.89	31.04	26.37	53.0	36.22	39.22	29.18
39	105.17	65.25	30.43	25.9	52.41	35.99	38.68	28.73
40	104.91	65.1	29.81	25.49	52.19	35.58	38.21	28.32
41	104.38	64.53	29.21	25.05	51.62	34.99	37.77	27.95
42	102.98	64.12	28.64	24.64	51.12	35.41	37.24	27.57
43	102.8	63.71	28.07	24.42	49.86	34.22	36.76	27.15
44	101.95	63.51	27.51	23.87	49.65	34.11	36.37	26.83
45	101.66	62.95	26.97	23.46	49.28	33.99	35.82	26.49
46	100.76	62.76	26.43	23.15	49.15	33.88	35.51	26.19
47	100.48	62.4	25.91	22.66	49.0	33.77	35.09	25.73
48	99.5	62.02	25.39	22.36	48.72	33.68	34.59	25.47
49	99.19	61.64	24.88	21.94	48.75	33.57	34.32	25.1
50	98.41	61.47	24.39	21.59	48.6	33.51	33.84	24.89
